,membership_category,avg_transaction_value,points_in_wallet,feedback,churn_risk_score
0,No Membership,38604.69,627.48,Poor Website,1
1,Basic Membership,7665.66,575.97,Poor Customer Service,1
2,Silver Membership,37671.69,767.93,Too many ads,0
3,No Membership,15678.14,590.22,Too many ads,1
4,Silver Membership,8422.68,722.04,Poor Product Quality,0
5,Premium Membership,29664.01,782.49,Poor Product Quality,0
6,Gold Membership,13160.39,712.94,No reason specified,1
7,No Membership,9151.14,655.43,No reason specified,1
8,Platinum Membership,81628.48,0.0,Products always in Stock,0
9,Basic Membership,28232.59,984.9339202829872,Too many ads,1
10,Basic Membership,24087.96,656.38,No reason specified,1
11,Platinum Membership,23695.52,832.42,Reasonable Price,0
12,Silver Membership,49607.97,0.0,Too many ads,1
13,No Membership,9854.95,1357.3665722414614,Poor Website,1
14,Gold Membership,76602.41,763.82,Reasonable Price,0
15,Gold Membership,84684.36,705.43,Quality Customer Care,0
16,Silver Membership,21395.38,667.71,Too many ads,1
17,Gold Membership,34334.05,0.0,Reasonable Price,0
18,Premium Membership,35325.17,724.71,Too many ads,0
19,No Membership,4384.76,0.0,Too many ads,0
20,Platinum Membership,49231.43,738.64,Too many ads,0
21,Premium Membership,39665.83,713.6,Too many ads,0
22,Basic Membership,32463.61,639.82,Poor Product Quality,1
23,Basic Membership,11869.96,545.88,No reason specified,1
24,Silver Membership,19060.98,707.49,Poor Website,1
25,Gold Membership,29493.13,863.6515880731381,Too many ads,1
26,Silver Membership,7804.47,455.5532063599135,Poor Customer Service,1
27,Platinum Membership,36878.34,757.78,Poor Website,0
28,No Membership,49000.77,690.07,No reason specified,1
29,Premium Membership,22171.5,721.79,Poor Website,0
30,Premium Membership,20562.95,714.57,Too many ads,0
31,No Membership,37019.99,603.16,Too many ads,1
32,Basic Membership,32642.69,678.98,No reason specified,1
33,Silver Membership,12807.3,737.89,No reason specified,0
34,No Membership,35570.53,600.95,Too many ads,1
35,Basic Membership,39574.25,662.57,Poor Website,1
36,Gold Membership,49140.01,680.43,Poor Customer Service,1
37,Gold Membership,42948.67,1139.6635318493627,Poor Customer Service,1
38,No Membership,49323.47,661.93,Too many ads,1
39,Basic Membership,5669.67,671.01,Poor Website,1
40,Gold Membership,36397.14,0.0,Poor Website,1
41,Basic Membership,45639.73,626.33,No reason specified,1
42,Silver Membership,27147.55,771.13,Poor Customer Service,0
43,No Membership,49090.93,538.23,Too many ads,1
44,Platinum Membership,12212.32,788.03,No reason specified,0
45,Basic Membership,20079.25,616.53,Poor Customer Service,1
46,Basic Membership,23039.6,690.38,Poor Website,1
47,Gold Membership,30210.48,797.68,User Friendly Website,0
48,Basic Membership,25489.08,949.5103162329586,Too many ads,0
49,Platinum Membership,70359.39,783.0,Reasonable Price,0
50,Silver Membership,31273.5,773.68,Too many ads,0
51,No Membership,31028.22,655.71,No reason specified,1
52,No Membership,36152.23,0.0,Poor Product Quality,1
53,No Membership,31654.22,0.0,Too many ads,1
54,Silver Membership,62457.63,707.14,User Friendly Website,0
55,Platinum Membership,56657.58,753.49,Products always in Stock,0
56,Gold Membership,11876.12,666.79,Poor Product Quality,1
57,Basic Membership,32385.69,663.8,Too many ads,1
58,Silver Membership,37491.01,714.44,No reason specified,1
59,No Membership,35699.87,1436.265795084758,No reason specified,1
60,Gold Membership,63498.31,782.9,Products always in Stock,0
61,Premium Membership,34184.74,796.6,No reason specified,0
62,Silver Membership,15434.33,710.82,No reason specified,1
63,Basic Membership,7395.73,526.73,Poor Website,1
64,Silver Membership,30071.07,660.68,Poor Product Quality,1
65,Platinum Membership,6395.16,1068.7468833806156,Products always in Stock,0
66,No Membership,4334.07,658.6,No reason specified,1
67,Silver Membership,33620.18,0.0,Poor Website,0
68,No Membership,2825.48,609.74,Poor Website,1
69,Basic Membership,10989.19,667.12,Poor Product Quality,1
